#hocc     Hist_00001
-180.000 0.003009929
-174.000 0.002138781
-168.000 0.001301138
-162.000 0.000832058
-156.000 0.000591934
-150.000 0.000463496
-144.000 0.000457911
-138.000 0.000335057
-132.000 0.000480248
-126.000 0.000552844
-120.000 0.000776215
-114.000 0.001507757
-108.000 0.002490590
-102.000 0.004875080
 -96.000 0.008342920
 -90.000 0.013938372
 -84.000 0.017450886
 -78.000 0.019483565
 -72.000 0.018969811
 -66.000 0.018819036
 -60.000 0.017986977
 -54.000 0.016568569
 -48.000 0.012559054
 -42.000 0.007315412
 -36.000 0.004249640
 -30.000 0.002116443
 -24.000 0.000921407
 -18.000 0.000429990
 -12.000 0.000173113
  -6.000 0.000089349
   0.000 0.000100517
   6.000 0.000083764
  12.000 0.000027921
  18.000 0.000067011
  24.000 0.000145191
  30.000 0.000273630
  36.000 0.000636608
  42.000 0.001580352
  48.000 0.004227303
  54.000 0.011955951
  60.000 0.029697220
  66.000 0.059891442
  72.000 0.102896009
  78.000 0.132621151
  84.000 0.138071412
  90.000 0.114382881
  96.000 0.078565286
 102.000 0.047114601
 108.000 0.026447167
 114.000 0.016010141
 120.000 0.010464947
 126.000 0.007214894
 132.000 0.005813239
 138.000 0.004958844
 144.000 0.005053777
 150.000 0.004914170
 156.000 0.004824821
 162.000 0.004517685
 168.000 0.004394831
 174.000 0.003819650
