#hocc     Hist_00001
-180.000 0.002466452
-174.000 0.001785449
-168.000 0.001056427
-162.000 0.000654810
-156.000 0.000432175
-150.000 0.000327405
-144.000 0.000261924
-138.000 0.000218270
-132.000 0.000292482
-126.000 0.000371059
-120.000 0.000493290
-114.000 0.000999677
-108.000 0.001623929
-102.000 0.003287147
 -96.000 0.005731772
 -90.000 0.009682461
 -84.000 0.012498145
 -78.000 0.014702672
 -72.000 0.015396771
 -66.000 0.016466295
 -60.000 0.016160717
 -54.000 0.015178501
 -48.000 0.011821507
 -42.000 0.007002104
 -36.000 0.004120939
 -30.000 0.002195797
 -24.000 0.000956023
 -18.000 0.000497656
 -12.000 0.000218270
  -6.000 0.000122231
   0.000 0.000091673
   6.000 0.000074212
  12.000 0.000048019
  18.000 0.000048019
  24.000 0.000130962
  30.000 0.000222635
  36.000 0.000532579
  42.000 0.001536621
  48.000 0.004347940
  54.000 0.011485372
  60.000 0.028065167
  66.000 0.059194845
  72.000 0.102966727
  78.000 0.137357361
  84.000 0.145983394
  90.000 0.121183548
  96.000 0.085286851
 102.000 0.051424431
 108.000 0.029654173
 114.000 0.017553280
 120.000 0.011258371
 126.000 0.007857723
 132.000 0.006011158
 138.000 0.005378175
 144.000 0.004937269
 150.000 0.004522556
 156.000 0.004487633
 162.000 0.004243170
 168.000 0.003863380
 174.000 0.003230397
