#hocc     Hist_00001
-180.000 0.010075000
-174.000 0.008270000
-168.000 0.006335000
-162.000 0.004685000
-156.000 0.003100000
-150.000 0.002270000
-144.000 0.001765000
-138.000 0.001660000
-132.000 0.001635000
-126.000 0.001975000
-120.000 0.002625000
-114.000 0.004860000
-108.000 0.008820000
-102.000 0.015585000
 -96.000 0.028240000
 -90.000 0.044315000
 -84.000 0.056445000
 -78.000 0.056960000
 -72.000 0.044850000
 -66.000 0.028550000
 -60.000 0.017090000
 -54.000 0.010220000
 -48.000 0.006120000
 -42.000 0.003630000
 -36.000 0.001800000
 -30.000 0.000960000
 -24.000 0.000490000
 -18.000 0.000290000
 -12.000 0.000190000
  -6.000 0.000120000
   0.000 0.000100000
   6.000 0.000065000
  12.000 0.000095000
  18.000 0.000080000
  24.000 0.000175000
  30.000 0.000405000
  36.000 0.000830000
  42.000 0.002020000
  48.000 0.004800000
  54.000 0.010920000
  60.000 0.023920000
  66.000 0.045250000
  72.000 0.072735000
  78.000 0.092790000
  84.000 0.094375000
  90.000 0.078190000
  96.000 0.054190000
 102.000 0.033810000
 108.000 0.019820000
 114.000 0.012285000
 120.000 0.008185000
 126.000 0.006060000
 132.000 0.005570000
 138.000 0.005385000
 144.000 0.005820000
 150.000 0.007205000
 156.000 0.008630000
 162.000 0.010025000
 168.000 0.011230000
 174.000 0.011105000
