#hocc     Hist_00002
    -180 0.015230000
    -174 0.012900000
    -168 0.010140000
    -162 0.007420000
    -156 0.004590000
    -150 0.003210000
    -144 0.002180000
    -138 0.001990000
    -132 0.001970000
    -126 0.002530000
    -120 0.003210000
    -114 0.006010000
    -108 0.011330000
    -102 0.020100000
     -96 0.036810000
     -90 0.057580000
     -84 0.076410000
     -78 0.078440000
     -72 0.065450000
     -66 0.043880000
     -60 0.028330000
     -54 0.018350000
     -48 0.011450000
     -42 0.006920000
     -36 0.003330000
     -30 0.001820000
     -24 0.000920000
     -18 0.000510000
     -12 0.000340000
      -6 0.000170000
       0 0.000130000
       6 0.000090000
      12 0.000090000
      18 0.000070000
      24 0.000090000
      30 0.000210000
      36 0.000280000
      42 0.000700000
      48 0.001870000
      54 0.005010000
      60 0.012890000
      66 0.027690000
      72 0.048430000
      78 0.065180000
      84 0.067830000
      90 0.056580000
      96 0.040060000
     102 0.025470000
     108 0.014910000
     114 0.009300000
     120 0.006150000
     126 0.004650000
     132 0.004660000
     138 0.004940000
     144 0.005530000
     150 0.008200000
     156 0.010280000
     162 0.013330000
     168 0.015880000
     174 0.015980000
