#hocc     Hist_00002
    -180 0.005432060
    -174 0.004267904
    -168 0.003099741
    -162 0.002214101
    -156 0.001462709
    -150 0.001069982
    -144 0.000831540
    -138 0.000769425
    -132 0.000789462
    -126 0.000961781
    -120 0.001280371
    -114 0.002406457
    -108 0.004285938
    -102 0.007760372
     -96 0.013975883
     -90 0.022287276
     -84 0.028625014
     -78 0.030221971
     -72 0.026493065
     -66 0.021073027
     -60 0.016907312
     -54 0.013771505
     -48 0.009808165
     -42 0.005846828
     -36 0.003207941
     -30 0.001677106
     -24 0.000801484
     -18 0.000382709
     -12 0.000210390
      -6 0.000110204
       0 0.000084156
       6 0.000066122
      12 0.000068126
      18 0.000056104
      24 0.000154286
      30 0.000310575
      36 0.000659221
      42 0.001701151
      48 0.004438220
      54 0.011373063
      60 0.026867759
      66 0.054076149
      72 0.091619680
      78 0.120372931
      84 0.125869110
      90 0.104770034
      96 0.072995187
     102 0.044406240
     108 0.025677555
     114 0.015372470
     120 0.010090688
     126 0.007225381
     132 0.005965047
     138 0.005602376
     144 0.005472134
     150 0.005993099
     156 0.006475994
     162 0.006834658
     168 0.006940854
     174 0.006429908
