#hocc     Hist_00001
-180.000 0.002459913
-174.000 0.001735715
-168.000 0.000991837
-162.000 0.000582507
-156.000 0.000413265
-150.000 0.000303061
-144.000 0.000232216
-138.000 0.000200729
-132.000 0.000259767
-126.000 0.000326676
-120.000 0.000448688
-114.000 0.000901312
-108.000 0.001464140
-102.000 0.002971575
 -96.000 0.005218952
 -90.000 0.008883239
 -84.000 0.011772161
 -78.000 0.014507584
 -72.000 0.016715603
 -66.000 0.018915749
 -60.000 0.019750152
 -54.000 0.018994466
 -48.000 0.014448546
 -42.000 0.008619536
 -36.000 0.004876532
 -30.000 0.002526823
 -24.000 0.001180758
 -18.000 0.000523470
 -12.000 0.000263703
  -6.000 0.000122012
   0.000 0.000086589
   6.000 0.000070846
  12.000 0.000055102
  18.000 0.000039359
  24.000 0.000141691
  30.000 0.000200729
  36.000 0.000472303
  42.000 0.001350000
  48.000 0.003845336
  54.000 0.010508749
  60.000 0.026413565
  66.000 0.056463865
  72.000 0.098738950
  78.000 0.133465053
  84.000 0.143403103
  90.000 0.120157907
  96.000 0.084794194
 102.000 0.051378732
 108.000 0.029774790
 114.000 0.017605107
 120.000 0.011327409
 126.000 0.008084259
 132.000 0.006387903
 138.000 0.005888048
 144.000 0.005423617
 150.000 0.005407873
 156.000 0.005163850
 162.000 0.004919827
 168.000 0.004305832
 174.000 0.003514724
