#hocc     Hist_00001
-180.000 0.008396000
-174.000 0.006808000
-168.000 0.005188000
-162.000 0.003836000
-156.000 0.002500000
-150.000 0.001832000
-144.000 0.001432000
-138.000 0.001332000
-132.000 0.001312000
-126.000 0.001588000
-120.000 0.002100000
-114.000 0.003888000
-108.000 0.007068000
-102.000 0.012472000
 -96.000 0.022596000
 -90.000 0.035464000
 -84.000 0.045180000
 -78.000 0.045588000
 -72.000 0.035900000
 -66.000 0.022844000
 -60.000 0.013680000
 -54.000 0.008188000
 -48.000 0.004896000
 -42.000 0.002912000
 -36.000 0.001448000
 -30.000 0.000780000
 -24.000 0.000400000
 -18.000 0.000232000
 -12.000 0.000152000
  -6.000 0.000096000
   0.000 0.000080000
   6.000 0.000060000
  12.000 0.000080000
  18.000 0.000072000
  24.000 0.000168000
  30.000 0.000420000
  36.000 0.000840000
  42.000 0.002036000
  48.000 0.004984000
  54.000 0.012228000
  60.000 0.027384000
  66.000 0.051820000
  72.000 0.084800000
  78.000 0.107596000
  84.000 0.108816000
  90.000 0.089832000
  96.000 0.061796000
 102.000 0.037768000
 108.000 0.021796000
 114.000 0.013240000
 120.000 0.008948000
 126.000 0.006444000
 132.000 0.005556000
 138.000 0.005368000
 144.000 0.005580000
 150.000 0.006612000
 156.000 0.007876000
 162.000 0.008748000
 168.000 0.009604000
 174.000 0.009340000
