#hocc     Hist_00002
    -180 0.003960000
    -174 0.002380000
    -168 0.001940000
    -162 0.001020000
    -156 0.000620000
    -150 0.000260000
    -144 0.000260000
    -138 0.000080000
    -132 0.000200000
    -126 0.000080000
    -120 0.000260000
    -114 0.000360000
    -108 0.000640000
    -102 0.000840000
     -96 0.001660000
     -90 0.003420000
     -84 0.005940000
     -78 0.009840000
     -72 0.017100000
     -66 0.023940000
     -60 0.028440000
     -54 0.026020000
     -48 0.019520000
     -42 0.012660000
     -36 0.006240000
     -30 0.003380000
     -24 0.001620000
     -18 0.000920000
     -12 0.000640000
      -6 0.000300000
       0 0.000220000
       6 0.000180000
      12 0.000140000
      18 0.000120000
      24 0.000140000
      30 0.000380000
      36 0.000540000
      42 0.001320000
      48 0.003640000
      54 0.009800000
      60 0.025440000
      66 0.054820000
      72 0.096120000
      78 0.129680000
      84 0.134880000
      90 0.112480000
      96 0.079620000
     102 0.050360000
     108 0.029440000
     114 0.018020000
     120 0.011660000
     126 0.008440000
     132 0.007520000
     138 0.007480000
     144 0.007200000
     150 0.008140000
     156 0.008200000
     162 0.007480000
     168 0.006880000
     174 0.005120000
