#hocc     Hist_00002
    -180 0.006367240
    -174 0.005081764
    -168 0.003731138
    -162 0.002691230
    -156 0.001784130
    -150 0.001313040
    -144 0.001027378
    -138 0.000957216
    -132 0.000987286
    -126 0.001200279
    -120 0.001596195
    -114 0.003006961
    -108 0.005347379
    -102 0.009697450
     -96 0.017435363
     -90 0.027756757
     -84 0.035442048
     -78 0.036953046
     -72 0.031284925
     -66 0.023702371
     -60 0.017773646
     -54 0.013776894
     -48 0.009802693
     -42 0.005813458
     -36 0.003255035
     -30 0.001739026
     -24 0.000794339
     -18 0.000425986
     -12 0.000218005
      -6 0.000127796
       0 0.000102738
       6 0.000072668
      12 0.000075174
      18 0.000070162
      24 0.000165383
      30 0.000358330
      36 0.000719165
      42 0.001861810
      48 0.004668307
      54 0.011541719
      60 0.026666733
      66 0.052496529
      72 0.087946095
      78 0.113695706
      84 0.117366704
      90 0.097137373
      96 0.067320848
     102 0.041175321
     108 0.023855225
     114 0.014358239
     120 0.009607241
     126 0.006798238
     132 0.005625523
     138 0.005304781
     144 0.005339862
     150 0.005876103
     156 0.006622832
     162 0.007211695
     168 0.007655222
     174 0.007214201
