#hocc     Hist_00001
-180.000 0.005805279
-174.000 0.004622846
-168.000 0.003378062
-162.000 0.002427217
-156.000 0.001607753
-150.000 0.001182433
-144.000 0.000921897
-138.000 0.000850639
-132.000 0.000877361
-126.000 0.001068866
-120.000 0.001420701
-114.000 0.002674392
-108.000 0.004763135
-102.000 0.008619960
 -96.000 0.015503013
 -90.000 0.024679674
 -84.000 0.031524871
 -78.000 0.032876542
 -72.000 0.027839510
 -66.000 0.021114560
 -60.000 0.015857075
 -54.000 0.012300868
 -48.000 0.008755795
 -42.000 0.005192908
 -36.000 0.002908207
 -30.000 0.001554310
 -24.000 0.000710351
 -18.000 0.000383010
 -12.000 0.000195959
  -6.000 0.000115794
   0.000 0.000091299
   6.000 0.000069031
  12.000 0.000069031
  18.000 0.000062351
  24.000 0.000158103
  30.000 0.000329567
  36.000 0.000694763
  42.000 0.001794804
  48.000 0.004654021
  54.000 0.011643961
  60.000 0.027082396
  66.000 0.054077947
  72.000 0.091127520
  78.000 0.118998205
  84.000 0.123765794
  90.000 0.102504264
  96.000 0.071440342
 102.000 0.043384832
 108.000 0.025194066
 114.000 0.015079920
 120.000 0.009898146
 126.000 0.007050063
 132.000 0.005785238
 138.000 0.005371052
 144.000 0.005297568
 150.000 0.005713980
 156.000 0.006328578
 162.000 0.006805115
 168.000 0.007099053
 174.000 0.006696001
