#GLU21-0  Hist_00224
    -180 0.000004000
    -174 0.000050000
    -168 0.000620000
    -162 0.003226000
    -156 0.011182000
    -150 0.026242000
    -144 0.046776000
    -138 0.066262000
    -132 0.079490000
    -126 0.084612000
    -120 0.084690000
    -114 0.081354000
    -108 0.082030000
    -102 0.084786000
     -96 0.087680000
     -90 0.085490000
     -84 0.074002000
     -78 0.052732000
     -72 0.029744000
     -66 0.012742000
     -60 0.004600000
     -54 0.001336000
     -48 0.000274000
     -42 0.000068000
     -36 0.000004000
     -30 0.000002000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000002000
