#GLU164-0  Hist_01726
     -180 0.000012000
     -174 0.000232000
     -168 0.002106000
     -162 0.010260000
     -156 0.032830000
     -150 0.069320000
     -144 0.111008000
     -138 0.147852000
     -132 0.167234000
     -126 0.153208000
     -120 0.116506000
     -114 0.076900000
     -108 0.047900000
     -102 0.029336000
      -96 0.017782000
      -90 0.010034000
      -84 0.004690000
      -78 0.001912000
      -72 0.000670000
      -66 0.000168000
      -60 0.000034000
      -54 0.000004000
      -48 0.000002000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000000000
