#ARG156-6  Hist_01642
     -180 0.025096000
     -174 0.027924000
     -168 0.024000000
     -162 0.018110000
     -156 0.011536000
     -150 0.006410000
     -144 0.003518000
     -138 0.001590000
     -132 0.000838000
     -126 0.000778000
     -120 0.001362000
     -114 0.003540000
     -108 0.009808000
     -102 0.025338000
      -96 0.055522000
      -90 0.100834000
      -84 0.149764000
      -78 0.170192000
      -72 0.148728000
      -66 0.097538000
      -60 0.047982000
      -54 0.018108000
      -48 0.005554000
      -42 0.001402000
      -36 0.000320000
      -30 0.000092000
      -24 0.000024000
      -18 0.000002000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000002000
       72 0.000002000
       78 0.000020000
       84 0.000080000
       90 0.000212000
       96 0.000402000
      102 0.000524000
      108 0.000554000
      114 0.000492000
      120 0.000470000
      126 0.000464000
      132 0.000468000
      138 0.000602000
      144 0.000792000
      150 0.001106000
      156 0.002326000
      162 0.005396000
      168 0.011292000
      174 0.018886000
