#GLN7-4   Hist_00074
    -180 0.053322000
    -174 0.051716000
    -168 0.042334000
    -162 0.028552000
    -156 0.017396000
    -150 0.009104000
    -144 0.004850000
    -138 0.002826000
    -132 0.001718000
    -126 0.001470000
    -120 0.001486000
    -114 0.001972000
    -108 0.003222000
    -102 0.006046000
     -96 0.011410000
     -90 0.021482000
     -84 0.037516000
     -78 0.057908000
     -72 0.075556000
     -66 0.079232000
     -60 0.064230000
     -54 0.040340000
     -48 0.020140000
     -42 0.008750000
     -36 0.003438000
     -30 0.001222000
     -24 0.000494000
     -18 0.000132000
     -12 0.000088000
      -6 0.000040000
       0 0.000036000
       6 0.000032000
      12 0.000020000
      18 0.000070000
      24 0.000108000
      30 0.000372000
      36 0.000998000
      42 0.002484000
      48 0.004858000
      54 0.007660000
      60 0.011610000
      66 0.018932000
      72 0.029910000
      78 0.037686000
      84 0.036228000
      90 0.025722000
      96 0.014410000
     102 0.007576000
     108 0.003854000
     114 0.002256000
     120 0.001600000
     126 0.001656000
     132 0.002114000
     138 0.003410000
     144 0.005938000
     150 0.009700000
     156 0.016078000
     162 0.025016000
     168 0.035042000
     174 0.046632000
