#HID168-0  Hist_01764
     -180 0.000002000
     -174 0.000042000
     -168 0.000148000
     -162 0.000374000
     -156 0.001114000
     -150 0.002918000
     -144 0.006806000
     -138 0.014140000
     -132 0.023232000
     -126 0.033206000
     -120 0.042792000
     -114 0.054500000
     -108 0.071082000
     -102 0.093640000
      -96 0.120202000
      -90 0.141866000
      -84 0.146620000
      -78 0.121240000
      -72 0.076872000
      -66 0.034952000
      -60 0.011170000
      -54 0.002560000
      -48 0.000448000
      -42 0.000068000
      -36 0.000004000
      -30 0.000002000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000000000
