#PHE99-0  Hist_01028
    -180 0.004160000
    -174 0.020128000
    -168 0.062220000
    -162 0.123584000
    -156 0.165050000
    -150 0.162700000
    -144 0.132066000
    -138 0.094460000
    -132 0.063508000
    -126 0.041590000
    -120 0.028502000
    -114 0.021034000
    -108 0.016988000
    -102 0.014202000
     -96 0.012898000
     -90 0.011182000
     -84 0.009584000
     -78 0.007184000
     -72 0.004636000
     -66 0.002346000
     -60 0.000960000
     -54 0.000294000
     -48 0.000076000
     -42 0.000010000
     -36 0.000004000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000002000
     168 0.000050000
     174 0.000582000
