#GLU65-0  Hist_00688
    -180 0.000018000
    -174 0.000226000
    -168 0.001986000
    -162 0.011006000
    -156 0.034938000
    -150 0.074356000
    -144 0.117184000
    -138 0.143554000
    -132 0.147992000
    -126 0.132070000
    -120 0.104970000
    -114 0.078470000
    -108 0.057686000
    -102 0.040280000
     -96 0.027064000
     -90 0.015664000
     -84 0.008036000
     -78 0.003198000
     -72 0.001018000
     -66 0.000232000
     -60 0.000046000
     -54 0.000004000
     -48 0.000000000
     -42 0.000000000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000002000
