#TYR59-5  Hist_00632
    -180 0.107392000
    -174 0.086262000
    -168 0.060976000
    -162 0.037020000
    -156 0.019220000
    -150 0.009166000
    -144 0.003708000
    -138 0.001464000
    -132 0.000546000
    -126 0.000224000
    -120 0.000090000
    -114 0.000024000
    -108 0.000018000
    -102 0.000006000
     -96 0.000016000
     -90 0.000006000
     -84 0.000012000
     -78 0.000010000
     -72 0.000008000
     -66 0.000022000
     -60 0.000046000
     -54 0.000056000
     -48 0.000110000
     -42 0.000210000
     -36 0.000386000
     -30 0.000658000
     -24 0.001026000
     -18 0.001670000
     -12 0.002548000
      -6 0.003656000
       0 0.004738000
       6 0.005796000
      12 0.006668000
      18 0.006458000
      24 0.005686000
      30 0.004328000
      36 0.002930000
      42 0.001848000
      48 0.000958000
      54 0.000516000
      60 0.000274000
      66 0.000154000
      72 0.000076000
      78 0.000048000
      84 0.000044000
      90 0.000080000
      96 0.000102000
     102 0.000204000
     108 0.000510000
     114 0.001464000
     120 0.003574000
     126 0.008378000
     132 0.017606000
     138 0.031818000
     144 0.050588000
     150 0.072154000
     156 0.092522000
     162 0.108380000
     168 0.117968000
     174 0.117574000
