#PHE53-3  Hist_00554
    -180 0.001154000
    -174 0.001128000
    -168 0.000818000
    -162 0.000462000
    -156 0.000250000
    -150 0.000168000
    -144 0.000170000
    -138 0.000146000
    -132 0.000154000
    -126 0.000218000
    -120 0.000366000
    -114 0.000888000
    -108 0.002142000
    -102 0.006506000
     -96 0.018936000
     -90 0.050154000
     -84 0.105318000
     -78 0.169234000
     -72 0.207214000
     -66 0.189470000
     -60 0.129496000
     -54 0.066626000
     -48 0.026870000
     -42 0.008708000
     -36 0.002610000
     -30 0.000632000
     -24 0.000234000
     -18 0.000084000
     -12 0.000032000
      -6 0.000014000
       0 0.000002000
       6 0.000006000
      12 0.000006000
      18 0.000026000
      24 0.000086000
      30 0.000226000
      36 0.000466000
      42 0.000736000
      48 0.001176000
      54 0.001430000
      60 0.001248000
      66 0.001032000
      72 0.000720000
      78 0.000434000
      84 0.000212000
      90 0.000144000
      96 0.000070000
     102 0.000042000
     108 0.000012000
     114 0.000024000
     120 0.000008000
     126 0.000006000
     132 0.000004000
     138 0.000002000
     144 0.000008000
     150 0.000022000
     156 0.000068000
     162 0.000234000
     168 0.000478000
     174 0.000870000
