#LYS70-2  Hist_00740
    -180 0.143786000
    -174 0.055310000
    -168 0.013810000
    -162 0.002464000
    -156 0.000214000
    -150 0.000024000
    -144 0.000002000
    -138 0.000000000
    -132 0.000000000
    -126 0.000000000
    -120 0.000000000
    -114 0.000000000
    -108 0.000000000
    -102 0.000000000
     -96 0.000000000
     -90 0.000000000
     -84 0.000000000
     -78 0.000000000
     -72 0.000000000
     -66 0.000000000
     -60 0.000000000
     -54 0.000000000
     -48 0.000000000
     -42 0.000000000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000006000
     132 0.000036000
     138 0.000496000
     144 0.003798000
     150 0.021468000
     156 0.076276000
     162 0.177710000
     168 0.260316000
     174 0.244284000
