#MET145-0  Hist_01530
     -180 0.000016000
     -174 0.000310000
     -168 0.002444000
     -162 0.011136000
     -156 0.033078000
     -150 0.066098000
     -144 0.099854000
     -138 0.117500000
     -132 0.120840000
     -126 0.109906000
     -120 0.095580000
     -114 0.082064000
     -108 0.070756000
     -102 0.061184000
      -96 0.049086000
      -90 0.036402000
      -84 0.023698000
      -78 0.012850000
      -72 0.005244000
      -66 0.001506000
      -60 0.000368000
      -54 0.000068000
      -48 0.000012000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000000000
