#TYR158-5  Hist_01670
     -180 0.112536000
     -174 0.091396000
     -168 0.063440000
     -162 0.039340000
     -156 0.020512000
     -150 0.009334000
     -144 0.003980000
     -138 0.001540000
     -132 0.000568000
     -126 0.000182000
     -120 0.000098000
     -114 0.000034000
     -108 0.000012000
     -102 0.000012000
      -96 0.000006000
      -90 0.000012000
      -84 0.000006000
      -78 0.000014000
      -72 0.000016000
      -66 0.000044000
      -60 0.000068000
      -54 0.000146000
      -48 0.000234000
      -42 0.000422000
      -36 0.000636000
      -30 0.000878000
      -24 0.001156000
      -18 0.001300000
      -12 0.001512000
       -6 0.001504000
        0 0.001710000
        6 0.001856000
       12 0.001874000
       18 0.002036000
       24 0.001852000
       30 0.001670000
       36 0.001240000
       42 0.000880000
       48 0.000584000
       54 0.000320000
       60 0.000216000
       66 0.000122000
       72 0.000098000
       78 0.000064000
       84 0.000056000
       90 0.000066000
       96 0.000124000
      102 0.000226000
      108 0.000466000
      114 0.001260000
      120 0.002998000
      126 0.007230000
      132 0.015590000
      138 0.029438000
      144 0.048982000
      150 0.071380000
      156 0.093718000
      162 0.113686000
      168 0.124366000
      174 0.124954000
