#GLN7-5   Hist_00076
    -180 0.051914000
    -174 0.048778000
    -168 0.045798000
    -162 0.041352000
    -156 0.037802000
    -150 0.033086000
    -144 0.027780000
    -138 0.022938000
    -132 0.017800000
    -126 0.014010000
    -120 0.011398000
    -114 0.009196000
    -108 0.008080000
    -102 0.008030000
     -96 0.008718000
     -90 0.009558000
     -84 0.010132000
     -78 0.010800000
     -72 0.010280000
     -66 0.008950000
     -60 0.007276000
     -54 0.005818000
     -48 0.004582000
     -42 0.003700000
     -36 0.002962000
     -30 0.002480000
     -24 0.002052000
     -18 0.001676000
     -12 0.001442000
      -6 0.001356000
       0 0.001264000
       6 0.001342000
      12 0.001324000
      18 0.001600000
      24 0.001924000
      30 0.002440000
      36 0.003242000
      42 0.004216000
      48 0.005540000
      54 0.006754000
      60 0.007558000
      66 0.008694000
      72 0.008724000
      78 0.008580000
      84 0.008236000
      90 0.007986000
      96 0.008242000
     102 0.008398000
     108 0.009728000
     114 0.011838000
     120 0.015212000
     126 0.020468000
     132 0.026638000
     138 0.034592000
     144 0.042708000
     150 0.050540000
     156 0.054664000
     162 0.056456000
     168 0.056550000
     174 0.054798000
