#GLN2-4   Hist_00020
    -180 0.102464000
    -174 0.082520000
    -168 0.059458000
    -162 0.037974000
    -156 0.021970000
    -150 0.011402000
    -144 0.005740000
    -138 0.003172000
    -132 0.002020000
    -126 0.001974000
    -120 0.002450000
    -114 0.003676000
    -108 0.005334000
    -102 0.006686000
     -96 0.007942000
     -90 0.009326000
     -84 0.011562000
     -78 0.014134000
     -72 0.014694000
     -66 0.013168000
     -60 0.009424000
     -54 0.005616000
     -48 0.002602000
     -42 0.001150000
     -36 0.000376000
     -30 0.000154000
     -24 0.000024000
     -18 0.000010000
     -12 0.000004000
      -6 0.000000000
       0 0.000002000
       6 0.000002000
      12 0.000004000
      18 0.000006000
      24 0.000008000
      30 0.000044000
      36 0.000082000
      42 0.000198000
      48 0.000458000
      54 0.001176000
      60 0.002896000
      66 0.006502000
      72 0.011760000
      78 0.016058000
      84 0.016202000
      90 0.012550000
      96 0.007966000
     102 0.004610000
     108 0.002518000
     114 0.001668000
     120 0.001634000
     126 0.002272000
     132 0.004218000
     138 0.009050000
     144 0.020788000
     150 0.041722000
     156 0.070544000
     162 0.098716000
     168 0.114924000
     174 0.114396000
