#GLN2-6   Hist_00024
    -180 0.204302000
    -174 0.156260000
    -168 0.090354000
    -162 0.040096000
    -156 0.014060000
    -150 0.003768000
    -144 0.000822000
    -138 0.000158000
    -132 0.000014000
    -126 0.000002000
    -120 0.000000000
    -114 0.000000000
    -108 0.000000000
    -102 0.000000000
     -96 0.000000000
     -90 0.000000000
     -84 0.000000000
     -78 0.000000000
     -72 0.000000000
     -66 0.000000000
     -60 0.000000000
     -54 0.000000000
     -48 0.000000000
     -42 0.000000000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000004000
     126 0.000030000
     132 0.000124000
     138 0.000730000
     144 0.003416000
     150 0.012390000
     156 0.036662000
     162 0.085402000
     168 0.150390000
     174 0.201016000
