#TRP6-4   Hist_00064
    -180 0.000000000
    -174 0.000000000
    -168 0.000002000
    -162 0.000008000
    -156 0.000048000
    -150 0.000134000
    -144 0.000410000
    -138 0.001142000
    -132 0.002110000
    -126 0.003868000
    -120 0.006624000
    -114 0.009518000
    -108 0.011454000
    -102 0.010810000
     -96 0.008682000
     -90 0.006614000
     -84 0.005464000
     -78 0.005078000
     -72 0.004352000
     -66 0.003178000
     -60 0.002078000
     -54 0.001494000
     -48 0.001260000
     -42 0.000998000
     -36 0.000996000
     -30 0.000978000
     -24 0.000894000
     -18 0.000830000
     -12 0.000806000
      -6 0.000762000
       0 0.000670000
       6 0.000680000
      12 0.000728000
      18 0.000750000
      24 0.000800000
      30 0.000968000
      36 0.001120000
      42 0.001494000
      48 0.002140000
      54 0.003406000
      60 0.005870000
      66 0.011044000
      72 0.021018000
      78 0.040028000
      84 0.071080000
      90 0.112238000
      96 0.146852000
     102 0.161100000
     108 0.141668000
     114 0.099554000
     120 0.054030000
     126 0.022264000
     132 0.007476000
     138 0.001818000
     144 0.000458000
     150 0.000116000
     156 0.000028000
     162 0.000010000
     168 0.000000000
     174 0.000000000
