#THR74-3  Hist_00782
    -180 0.144100000
    -174 0.080106000
    -168 0.036506000
    -162 0.014218000
    -156 0.004690000
    -150 0.001140000
    -144 0.000214000
    -138 0.000030000
    -132 0.000014000
    -126 0.000002000
    -120 0.000000000
    -114 0.000006000
    -108 0.000000000
    -102 0.000008000
     -96 0.000020000
     -90 0.000072000
     -84 0.000108000
     -78 0.000232000
     -72 0.000354000
     -66 0.000422000
     -60 0.000370000
     -54 0.000222000
     -48 0.000118000
     -42 0.000024000
     -36 0.000010000
     -30 0.000002000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000002000
      24 0.000008000
      30 0.000048000
      36 0.000322000
      42 0.001612000
      48 0.006192000
      54 0.017734000
      60 0.037216000
      66 0.054230000
      72 0.053000000
      78 0.035810000
      84 0.017830000
      90 0.006952000
      96 0.002250000
     102 0.000828000
     108 0.000350000
     114 0.000306000
     120 0.000400000
     126 0.000690000
     132 0.001306000
     138 0.002800000
     144 0.006046000
     150 0.014520000
     156 0.036284000
     162 0.085560000
     168 0.152290000
     174 0.182426000
