#PHE53-4  Hist_00556
    -180 0.000152000
    -174 0.000108000
    -168 0.000100000
    -162 0.000104000
    -156 0.000102000
    -150 0.000148000
    -144 0.000314000
    -138 0.000684000
    -132 0.001754000
    -126 0.004412000
    -120 0.010832000
    -114 0.024224000
    -108 0.044550000
    -102 0.067842000
     -96 0.084004000
     -90 0.083198000
     -84 0.067682000
     -78 0.045360000
     -72 0.025550000
     -66 0.012362000
     -60 0.005844000
     -54 0.002522000
     -48 0.001206000
     -42 0.000710000
     -36 0.000534000
     -30 0.000370000
     -24 0.000302000
     -18 0.000250000
     -12 0.000202000
      -6 0.000184000
       0 0.000124000
       6 0.000086000
      12 0.000128000
      18 0.000114000
      24 0.000108000
      30 0.000182000
      36 0.000348000
      42 0.000780000
      48 0.001748000
      54 0.004186000
      60 0.010364000
      66 0.023464000
      72 0.046074000
      78 0.073364000
      84 0.091160000
      90 0.089506000
      96 0.071284000
     102 0.046860000
     108 0.026734000
     114 0.013594000
     120 0.006686000
     126 0.003054000
     132 0.001546000
     138 0.000906000
     144 0.000538000
     150 0.000410000
     156 0.000352000
     162 0.000280000
     168 0.000228000
     174 0.000186000
