#THR103-4  Hist_01082
     -180 0.021302000
     -174 0.020080000
     -168 0.016962000
     -162 0.013256000
     -156 0.010224000
     -150 0.007848000
     -144 0.006152000
     -138 0.005316000
     -132 0.004640000
     -126 0.004690000
     -120 0.004852000
     -114 0.005826000
     -108 0.007526000
     -102 0.011232000
      -96 0.019096000
      -90 0.032116000
      -84 0.051320000
      -78 0.070364000
      -72 0.080578000
      -66 0.074252000
      -60 0.056284000
      -54 0.036660000
      -48 0.020824000
      -42 0.010892000
      -36 0.005780000
      -30 0.002822000
      -24 0.001794000
      -18 0.001098000
      -12 0.000764000
       -6 0.000640000
        0 0.000690000
        6 0.000656000
       12 0.000946000
       18 0.001290000
       24 0.001996000
       30 0.003526000
       36 0.006428000
       42 0.010998000
       48 0.018270000
       54 0.027548000
       60 0.036820000
       66 0.043376000
       72 0.042962000
       78 0.036196000
       84 0.026078000
       90 0.017178000
       96 0.010506000
      102 0.006740000
      108 0.004644000
      114 0.003458000
      120 0.003342000
      126 0.003288000
      132 0.003698000
      138 0.004806000
      144 0.006166000
      150 0.008644000
      156 0.011268000
      162 0.014702000
      168 0.017944000
      174 0.020646000
