#ASN197-0  Hist_02054
     -180 0.000072000
     -174 0.001016000
     -168 0.006742000
     -162 0.024856000
     -156 0.060870000
     -150 0.099970000
     -144 0.125552000
     -138 0.124470000
     -132 0.109914000
     -126 0.090888000
     -120 0.076758000
     -114 0.064348000
     -108 0.054490000
     -102 0.046308000
      -96 0.038214000
      -90 0.029868000
      -84 0.021428000
      -78 0.013542000
      -72 0.006830000
      -66 0.002670000
      -60 0.000928000
      -54 0.000206000
      -48 0.000040000
      -42 0.000012000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000008000
