#ALA121-3  Hist_01280
     -180 0.074700000
     -174 0.061218000
     -168 0.036570000
     -162 0.016348000
     -156 0.005622000
     -150 0.001712000
     -144 0.000466000
     -138 0.000138000
     -132 0.000056000
     -126 0.000036000
     -120 0.000020000
     -114 0.000028000
     -108 0.000066000
     -102 0.000210000
      -96 0.000566000
      -90 0.002008000
      -84 0.006754000
      -78 0.017662000
      -72 0.038608000
      -66 0.062160000
      -60 0.072354000
      -54 0.059896000
      -48 0.036252000
      -42 0.015946000
      -36 0.005954000
      -30 0.001884000
      -24 0.000538000
      -18 0.000216000
      -12 0.000040000
       -6 0.000026000
        0 0.000024000
        6 0.000026000
       12 0.000072000
       18 0.000210000
       24 0.000656000
       30 0.002330000
       36 0.007310000
       42 0.020722000
       48 0.042838000
       54 0.067832000
       60 0.077416000
       66 0.063858000
       72 0.038406000
       78 0.017642000
       84 0.006528000
       90 0.002028000
       96 0.000582000
      102 0.000188000
      108 0.000044000
      114 0.000050000
      120 0.000024000
      126 0.000038000
      132 0.000058000
      138 0.000162000
      144 0.000628000
      150 0.001962000
      156 0.006804000
      162 0.018640000
      168 0.040102000
      174 0.064766000
