#MET135-0  Hist_01408
     -180 0.018440000
     -174 0.068922000
     -168 0.156998000
     -162 0.224264000
     -156 0.211108000
     -150 0.138462000
     -144 0.070442000
     -138 0.030432000
     -132 0.012008000
     -126 0.005066000
     -120 0.002510000
     -114 0.001450000
     -108 0.001174000
     -102 0.001128000
      -96 0.001466000
      -90 0.002192000
      -84 0.004038000
      -78 0.007102000
      -72 0.009886000
      -66 0.010892000
      -60 0.009288000
      -54 0.005416000
      -48 0.002586000
      -42 0.000976000
      -36 0.000304000
      -30 0.000090000
      -24 0.000024000
      -18 0.000010000
      -12 0.000002000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000024000
      168 0.000300000
      174 0.003000000
