#PHE152-4  Hist_01594
     -180 0.000098000
     -174 0.000086000
     -168 0.000068000
     -162 0.000072000
     -156 0.000098000
     -150 0.000152000
     -144 0.000316000
     -138 0.000648000
     -132 0.001822000
     -126 0.005080000
     -120 0.012672000
     -114 0.028206000
     -108 0.053448000
     -102 0.081208000
      -96 0.099964000
      -90 0.097618000
      -84 0.078554000
      -78 0.052076000
      -72 0.028704000
      -66 0.014008000
      -60 0.006206000
      -54 0.002732000
      -48 0.001266000
      -42 0.000658000
      -36 0.000422000
      -30 0.000322000
      -24 0.000262000
      -18 0.000210000
      -12 0.000152000
       -6 0.000130000
        0 0.000118000
        6 0.000076000
       12 0.000076000
       18 0.000078000
       24 0.000056000
       30 0.000078000
       36 0.000162000
       42 0.000408000
       48 0.001014000
       54 0.002634000
       60 0.007428000
       66 0.018126000
       72 0.038258000
       78 0.062948000
       84 0.078526000
       90 0.077612000
       96 0.061038000
      102 0.039746000
      108 0.022330000
      114 0.011278000
      120 0.005256000
      126 0.002282000
      132 0.001170000
      138 0.000612000
      144 0.000402000
      150 0.000294000
      156 0.000280000
      162 0.000208000
      168 0.000144000
      174 0.000104000
