#PHE198-3  Hist_02072
     -180 0.006264000
     -174 0.005372000
     -168 0.003442000
     -162 0.002016000
     -156 0.001072000
     -150 0.000488000
     -144 0.000330000
     -138 0.000170000
     -132 0.000164000
     -126 0.000202000
     -120 0.000302000
     -114 0.000510000
     -108 0.001280000
     -102 0.003214000
      -96 0.008616000
      -90 0.022820000
      -84 0.047432000
      -78 0.077832000
      -72 0.098842000
      -66 0.098222000
      -60 0.076508000
      -54 0.045100000
      -48 0.019916000
      -42 0.007086000
      -36 0.002000000
      -30 0.000520000
      -24 0.000166000
      -18 0.000050000
      -12 0.000026000
       -6 0.000014000
        0 0.000012000
        6 0.000022000
       12 0.000072000
       18 0.000242000
       24 0.000780000
       30 0.002720000
       36 0.008264000
       42 0.020632000
       48 0.043092000
       54 0.071892000
       60 0.095762000
       66 0.095698000
       72 0.067242000
       78 0.032092000
       84 0.011214000
       90 0.003190000
       96 0.000788000
      102 0.000176000
      108 0.000078000
      114 0.000040000
      120 0.000026000
      126 0.000034000
      132 0.000058000
      138 0.000112000
      144 0.000236000
      150 0.000614000
      156 0.001458000
      162 0.002738000
      168 0.004632000
      174 0.006108000
