#GLN7-1   Hist_00068
    -180 0.070886000
    -174 0.028960000
    -168 0.009828000
    -162 0.002712000
    -156 0.000756000
    -150 0.000196000
    -144 0.000068000
    -138 0.000012000
    -132 0.000010000
    -126 0.000002000
    -120 0.000006000
    -114 0.000000000
    -108 0.000000000
    -102 0.000002000
     -96 0.000002000
     -90 0.000000000
     -84 0.000006000
     -78 0.000002000
     -72 0.000002000
     -66 0.000000000
     -60 0.000000000
     -54 0.000000000
     -48 0.000000000
     -42 0.000000000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000002000
     102 0.000000000
     108 0.000006000
     114 0.000050000
     120 0.000296000
     126 0.001182000
     132 0.004898000
     138 0.015662000
     144 0.042960000
     150 0.093890000
     156 0.166168000
     162 0.216272000
     168 0.205296000
     174 0.139868000
