#ASN37-0  Hist_00382
    -180 0.000000000
    -174 0.000000000
    -168 0.000012000
    -162 0.000042000
    -156 0.000146000
    -150 0.000326000
    -144 0.000710000
    -138 0.001342000
    -132 0.002328000
    -126 0.003796000
    -120 0.006746000
    -114 0.012770000
    -108 0.025104000
    -102 0.048672000
     -96 0.093242000
     -90 0.151014000
     -84 0.199992000
     -78 0.197760000
     -72 0.142502000
     -66 0.075800000
     -60 0.028232000
     -54 0.007574000
     -48 0.001562000
     -42 0.000272000
     -36 0.000040000
     -30 0.000010000
     -24 0.000004000
     -18 0.000000000
     -12 0.000000000
      -6 0.000002000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000000000
