#GLU34-0  Hist_00346
    -180 0.000000000
    -174 0.000000000
    -168 0.000004000
    -162 0.000028000
    -156 0.000080000
    -150 0.000142000
    -144 0.000222000
    -138 0.000220000
    -132 0.000256000
    -126 0.000288000
    -120 0.000406000
    -114 0.000630000
    -108 0.001164000
    -102 0.002912000
     -96 0.007734000
     -90 0.021332000
     -84 0.054996000
     -78 0.121202000
     -72 0.208110000
     -66 0.248840000
     -60 0.193740000
     -54 0.096458000
     -48 0.032082000
     -42 0.007546000
     -36 0.001338000
     -30 0.000224000
     -24 0.000038000
     -18 0.000008000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000000000
