#ASN98-0  Hist_01016
    -180 0.000056000
    -174 0.000758000
    -168 0.005192000
    -162 0.021982000
    -156 0.057342000
    -150 0.102298000
    -144 0.136022000
    -138 0.141144000
    -132 0.123168000
    -126 0.098014000
    -120 0.075554000
    -114 0.057706000
    -108 0.045488000
    -102 0.036280000
     -96 0.029574000
     -90 0.024186000
     -84 0.018806000
     -78 0.013248000
     -72 0.007970000
     -66 0.003550000
     -60 0.001258000
     -54 0.000328000
     -48 0.000062000
     -42 0.000008000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000006000
