#GLN106-0  Hist_01104
     -180 0.001028000
     -174 0.003322000
     -168 0.010262000
     -162 0.023972000
     -156 0.045458000
     -150 0.072900000
     -144 0.100108000
     -138 0.118906000
     -132 0.121308000
     -126 0.109314000
     -120 0.090650000
     -114 0.072678000
     -108 0.058116000
     -102 0.046592000
      -96 0.036780000
      -90 0.029542000
      -84 0.023220000
      -78 0.016878000
      -72 0.010722000
      -66 0.005450000
      -60 0.001966000
      -54 0.000416000
      -48 0.000080000
      -42 0.000010000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000002000
      162 0.000006000
      168 0.000052000
      174 0.000262000
