#GLN157-0  Hist_01646
     -180 0.000000000
     -174 0.000000000
     -168 0.000034000
     -162 0.000264000
     -156 0.001132000
     -150 0.003586000
     -144 0.008352000
     -138 0.015160000
     -132 0.022684000
     -126 0.031968000
     -120 0.043538000
     -114 0.060766000
     -108 0.085370000
     -102 0.118566000
      -96 0.152196000
      -90 0.166298000
      -84 0.144160000
      -78 0.091318000
      -72 0.040224000
      -66 0.011886000
      -60 0.002202000
      -54 0.000270000
      -48 0.000024000
      -42 0.000002000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000000000
