#ILE15-2  Hist_00166
    -180 0.224016000
    -174 0.194262000
    -168 0.121824000
    -162 0.054666000
    -156 0.017630000
    -150 0.004444000
    -144 0.000904000
    -138 0.000140000
    -132 0.000018000
    -126 0.000002000
    -120 0.000000000
    -114 0.000000000
    -108 0.000000000
    -102 0.000000000
     -96 0.000000000
     -90 0.000000000
     -84 0.000000000
     -78 0.000000000
     -72 0.000000000
     -66 0.000000000
     -60 0.000000000
     -54 0.000000000
     -48 0.000000000
     -42 0.000000000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000002000
     126 0.000002000
     132 0.000052000
     138 0.000274000
     144 0.001296000
     150 0.005034000
     156 0.018254000
     162 0.053240000
     168 0.116798000
     174 0.187142000
