#THR4-4   Hist_00044
    -180 0.018222000
    -174 0.014806000
    -168 0.011284000
    -162 0.008298000
    -156 0.006020000
    -150 0.004624000
    -144 0.003634000
    -138 0.002940000
    -132 0.002842000
    -126 0.002760000
    -120 0.002926000
    -114 0.003644000
    -108 0.004816000
    -102 0.007322000
     -96 0.012068000
     -90 0.020980000
     -84 0.033486000
     -78 0.045336000
     -72 0.051092000
     -66 0.047946000
     -60 0.036388000
     -54 0.023510000
     -48 0.013252000
     -42 0.006808000
     -36 0.003522000
     -30 0.001768000
     -24 0.001022000
     -18 0.000608000
     -12 0.000368000
      -6 0.000364000
       0 0.000366000
       6 0.000400000
      12 0.000512000
      18 0.000848000
      24 0.001410000
      30 0.002954000
      36 0.005334000
      42 0.010428000
      48 0.018286000
      54 0.030612000
      60 0.044900000
      66 0.058214000
      72 0.064108000
      78 0.060490000
      84 0.049484000
      90 0.035242000
      96 0.024612000
     102 0.017296000
     108 0.012556000
     114 0.010182000
     120 0.009426000
     126 0.009620000
     132 0.010584000
     138 0.011614000
     144 0.014430000
     150 0.016980000
     156 0.020120000
     162 0.022082000
     168 0.022806000
     174 0.021448000
