#MET46-0  Hist_00492
    -180 0.000014000
    -174 0.000230000
    -168 0.001694000
    -162 0.008304000
    -156 0.025652000
    -150 0.054896000
    -144 0.086464000
    -138 0.108768000
    -132 0.116510000
    -126 0.112186000
    -120 0.101196000
    -114 0.089048000
    -108 0.078026000
    -102 0.067728000
     -96 0.055824000
     -90 0.042380000
     -84 0.027560000
     -78 0.014828000
     -72 0.006180000
     -66 0.001980000
     -60 0.000430000
     -54 0.000084000
     -48 0.000016000
     -42 0.000002000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000000000
