#ARG57-4  Hist_00600
    -180 0.209126000
    -174 0.248568000
    -168 0.186454000
    -162 0.085042000
    -156 0.023454000
    -150 0.004240000
    -144 0.000606000
    -138 0.000166000
    -132 0.000040000
    -126 0.000020000
    -120 0.000020000
    -114 0.000030000
    -108 0.000054000
    -102 0.000126000
     -96 0.000246000
     -90 0.000276000
     -84 0.000224000
     -78 0.000178000
     -72 0.000150000
     -66 0.000074000
     -60 0.000076000
     -54 0.000042000
     -48 0.000012000
     -42 0.000004000
     -36 0.000004000
     -30 0.000002000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000004000
      30 0.000008000
      36 0.000034000
      42 0.000142000
      48 0.000348000
      54 0.000624000
      60 0.000870000
      66 0.001138000
      72 0.001940000
      78 0.004778000
      84 0.009038000
      90 0.009016000
      96 0.004940000
     102 0.001786000
     108 0.000532000
     114 0.000154000
     120 0.000124000
     126 0.000134000
     132 0.000264000
     138 0.000336000
     144 0.000644000
     150 0.001636000
     156 0.005532000
     162 0.019358000
     168 0.054644000
     174 0.122742000
