#TRP105-4  Hist_01102
     -180 0.000024000
     -174 0.000030000
     -168 0.000120000
     -162 0.000338000
     -156 0.000858000
     -150 0.002010000
     -144 0.004086000
     -138 0.007200000
     -132 0.010100000
     -126 0.012338000
     -120 0.013620000
     -114 0.013894000
     -108 0.013304000
     -102 0.012188000
      -96 0.011024000
      -90 0.009272000
      -84 0.006868000
      -78 0.005226000
      -72 0.003946000
      -66 0.003488000
      -60 0.003234000
      -54 0.003424000
      -48 0.003648000
      -42 0.003818000
      -36 0.004034000
      -30 0.003670000
      -24 0.003264000
      -18 0.002980000
      -12 0.002344000
       -6 0.001806000
        0 0.001562000
        6 0.001512000
       12 0.001392000
       18 0.001192000
       24 0.001348000
       30 0.001326000
       36 0.001590000
       42 0.001760000
       48 0.002314000
       54 0.002948000
       60 0.004092000
       66 0.006090000
       72 0.010550000
       78 0.020656000
       84 0.041140000
       90 0.075000000
       96 0.115812000
      102 0.146870000
      108 0.148252000
      114 0.119214000
      120 0.074744000
      126 0.036770000
      132 0.014314000
      138 0.005034000
      144 0.001602000
      150 0.000524000
      156 0.000154000
      162 0.000052000
      168 0.000024000
      174 0.000006000
