#GLN7-3   Hist_00072
    -180 0.005962000
    -174 0.004846000
    -168 0.003020000
    -162 0.001724000
    -156 0.000886000
    -150 0.000498000
    -144 0.000298000
    -138 0.000250000
    -132 0.000276000
    -126 0.000446000
    -120 0.000988000
    -114 0.001824000
    -108 0.002436000
    -102 0.003250000
     -96 0.005782000
     -90 0.013774000
     -84 0.034044000
     -78 0.071078000
     -72 0.121522000
     -66 0.154244000
     -60 0.141526000
     -54 0.090494000
     -48 0.043686000
     -42 0.016890000
     -36 0.005654000
     -30 0.001634000
     -24 0.000510000
     -18 0.000182000
     -12 0.000062000
      -6 0.000038000
       0 0.000036000
       6 0.000040000
      12 0.000084000
      18 0.000114000
      24 0.000252000
      30 0.000714000
      36 0.002886000
      42 0.009336000
      48 0.023608000
      54 0.042560000
      60 0.053240000
      66 0.046304000
      72 0.033744000
      78 0.023094000
      84 0.013724000
      90 0.005488000
      96 0.001158000
     102 0.000184000
     108 0.000034000
     114 0.000020000
     120 0.000010000
     126 0.000024000
     132 0.000018000
     138 0.000064000
     144 0.000238000
     150 0.000600000
     156 0.001476000
     162 0.002816000
     168 0.004324000
     174 0.005986000
