#ASN182-0  Hist_01898
     -180 0.000000000
     -174 0.000000000
     -168 0.000002000
     -162 0.000010000
     -156 0.000088000
     -150 0.000220000
     -144 0.000426000
     -138 0.000806000
     -132 0.001364000
     -126 0.002052000
     -120 0.003722000
     -114 0.007348000
     -108 0.014910000
     -102 0.029990000
      -96 0.058928000
      -90 0.106558000
      -84 0.164622000
      -78 0.203056000
      -72 0.189514000
      -66 0.127114000
      -60 0.062070000
      -54 0.020842000
      -48 0.005100000
      -42 0.001084000
      -36 0.000166000
      -30 0.000008000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000000000
