#THR190-4  Hist_01992
     -180 0.043956000
     -174 0.043234000
     -168 0.038038000
     -162 0.030978000
     -156 0.023006000
     -150 0.016042000
     -144 0.011786000
     -138 0.008912000
     -132 0.007586000
     -126 0.007306000
     -120 0.008990000
     -114 0.013286000
     -108 0.022844000
     -102 0.038622000
      -96 0.060780000
      -90 0.080854000
      -84 0.085526000
      -78 0.068986000
      -72 0.042144000
      -66 0.019996000
      -60 0.007782000
      -54 0.002502000
      -48 0.000890000
      -42 0.000306000
      -36 0.000136000
      -30 0.000056000
      -24 0.000032000
      -18 0.000022000
      -12 0.000018000
       -6 0.000012000
        0 0.000012000
        6 0.000016000
       12 0.000010000
       18 0.000034000
       24 0.000046000
       30 0.000066000
       36 0.000172000
       42 0.000320000
       48 0.000722000
       54 0.001458000
       60 0.003064000
       66 0.005152000
       72 0.009288000
       78 0.013650000
       84 0.017098000
       90 0.017458000
       96 0.015736000
      102 0.012880000
      108 0.010430000
      114 0.008886000
      120 0.008380000
      126 0.008994000
      132 0.009642000
      138 0.011554000
      144 0.014662000
      150 0.018262000
      156 0.022840000
      162 0.028664000
      168 0.035022000
      174 0.040854000
