#THR12-4  Hist_00134
    -180 0.004466000
    -174 0.003584000
    -168 0.002648000
    -162 0.001882000
    -156 0.001380000
    -150 0.001042000
    -144 0.000862000
    -138 0.000698000
    -132 0.000750000
    -126 0.000798000
    -120 0.000940000
    -114 0.001290000
    -108 0.001920000
    -102 0.003148000
     -96 0.005462000
     -90 0.009148000
     -84 0.014342000
     -78 0.019994000
     -72 0.023578000
     -66 0.024920000
     -60 0.021972000
     -54 0.017686000
     -48 0.013732000
     -42 0.010076000
     -36 0.007008000
     -30 0.004690000
     -24 0.003166000
     -18 0.002324000
     -12 0.001838000
      -6 0.001616000
       0 0.001560000
       6 0.001826000
      12 0.002726000
      18 0.004474000
      24 0.007580000
      30 0.013252000
      36 0.021756000
      42 0.035342000
      48 0.052926000
      54 0.073432000
      60 0.092054000
      66 0.102312000
      72 0.098912000
      78 0.082610000
      84 0.059740000
      90 0.038706000
      96 0.023144000
     102 0.014148000
     108 0.008934000
     114 0.006304000
     120 0.004978000
     126 0.004568000
     132 0.004204000
     138 0.004402000
     144 0.004698000
     150 0.005308000
     156 0.005578000
     162 0.006170000
     168 0.005894000
     174 0.005502000
