#ARG165-4  Hist_01744
     -180 0.238344000
     -174 0.171170000
     -168 0.079866000
     -162 0.026956000
     -156 0.008206000
     -150 0.002564000
     -144 0.000922000
     -138 0.000392000
     -132 0.000204000
     -126 0.000136000
     -120 0.000184000
     -114 0.000244000
     -108 0.000390000
     -102 0.000864000
      -96 0.001954000
      -90 0.004106000
      -84 0.007744000
      -78 0.012068000
      -72 0.014320000
      -66 0.012302000
      -60 0.008440000
      -54 0.004840000
      -48 0.002258000
      -42 0.000980000
      -36 0.000364000
      -30 0.000136000
      -24 0.000064000
      -18 0.000022000
      -12 0.000026000
       -6 0.000004000
        0 0.000008000
        6 0.000010000
       12 0.000008000
       18 0.000016000
       24 0.000018000
       30 0.000020000
       36 0.000066000
       42 0.000098000
       48 0.000148000
       54 0.000198000
       60 0.000218000
       66 0.000150000
       72 0.000086000
       78 0.000070000
       84 0.000020000
       90 0.000018000
       96 0.000006000
      102 0.000004000
      108 0.000002000
      114 0.000002000
      120 0.000012000
      126 0.000010000
      132 0.000032000
      138 0.000130000
      144 0.000594000
      150 0.002560000
      156 0.012048000
      162 0.046462000
      168 0.123572000
      174 0.213344000
