#ILE4-4   Hist_00046
    -180 0.077724000
    -174 0.040056000
    -168 0.017696000
    -162 0.006148000
    -156 0.001704000
    -150 0.000376000
    -144 0.000088000
    -138 0.000028000
    -132 0.000006000
    -126 0.000004000
    -120 0.000000000
    -114 0.000004000
    -108 0.000008000
    -102 0.000038000
     -96 0.000058000
     -90 0.000230000
     -84 0.000430000
     -78 0.000716000
     -72 0.001120000
     -66 0.001412000
     -60 0.001304000
     -54 0.000878000
     -48 0.000326000
     -42 0.000110000
     -36 0.000020000
     -30 0.000006000
     -24 0.000002000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000004000
      18 0.000008000
      24 0.000030000
      30 0.000068000
      36 0.000214000
      42 0.000448000
      48 0.000742000
      54 0.000814000
      60 0.000754000
      66 0.000456000
      72 0.000246000
      78 0.000184000
      84 0.000090000
      90 0.000050000
      96 0.000044000
     102 0.000046000
     108 0.000060000
     114 0.000116000
     120 0.000192000
     126 0.000576000
     132 0.001924000
     138 0.008308000
     144 0.030150000
     150 0.086764000
     156 0.168616000
     162 0.216872000
     168 0.197316000
     174 0.134416000
