#ASP197-3  Hist_02100
     -180 0.231224000
     -174 0.134858000
     -168 0.049198000
     -162 0.011792000
     -156 0.002096000
     -150 0.000300000
     -144 0.000048000
     -138 0.000008000
     -132 0.000002000
     -126 0.000002000
     -120 0.000000000
     -114 0.000004000
     -108 0.000012000
     -102 0.000076000
      -96 0.000212000
      -90 0.000684000
      -84 0.002192000
      -78 0.005434000
      -72 0.009984000
      -66 0.012290000
      -60 0.010348000
      -54 0.006248000
      -48 0.002642000
      -42 0.000908000
      -36 0.000280000
      -30 0.000120000
      -24 0.000034000
      -18 0.000018000
      -12 0.000000000
       -6 0.000010000
        0 0.000014000
        6 0.000014000
       12 0.000022000
       18 0.000050000
       24 0.000124000
       30 0.000352000
       36 0.000890000
       42 0.002120000
       48 0.003406000
       54 0.003888000
       60 0.002646000
       66 0.001304000
       72 0.000442000
       78 0.000088000
       84 0.000038000
       90 0.000006000
       96 0.000004000
      102 0.000004000
      108 0.000000000
      114 0.000004000
      120 0.000006000
      126 0.000006000
      132 0.000038000
      138 0.000158000
      144 0.000848000
      150 0.004408000
      156 0.019998000
      162 0.069032000
      168 0.162854000
      174 0.246212000
