#VAL142-0  Hist_01488
     -180 0.000002000
     -174 0.000078000
     -168 0.000584000
     -162 0.003248000
     -156 0.013990000
     -150 0.045032000
     -144 0.097798000
     -138 0.149834000
     -132 0.168776000
     -126 0.152628000
     -120 0.118928000
     -114 0.086050000
     -108 0.060442000
     -102 0.041466000
      -96 0.027448000
      -90 0.017008000
      -84 0.009540000
      -78 0.004610000
      -72 0.001810000
      -66 0.000616000
      -60 0.000092000
      -54 0.000014000
      -48 0.000006000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000000000
