#HIE172-4  Hist_01834
     -180 0.000122000
     -174 0.000070000
     -168 0.000146000
     -162 0.000246000
     -156 0.000460000
     -150 0.000994000
     -144 0.001692000
     -138 0.003002000
     -132 0.005034000
     -126 0.007404000
     -120 0.010246000
     -114 0.012744000
     -108 0.014044000
     -102 0.013580000
      -96 0.011518000
      -90 0.008654000
      -84 0.005654000
      -78 0.003222000
      -72 0.001958000
      -66 0.001404000
      -60 0.001274000
      -54 0.001828000
      -48 0.002742000
      -42 0.003686000
      -36 0.004278000
      -30 0.004494000
      -24 0.003794000
      -18 0.002800000
      -12 0.002044000
       -6 0.001660000
        0 0.001538000
        6 0.001872000
       12 0.002254000
       18 0.002790000
       24 0.003296000
       30 0.003506000
       36 0.003930000
       42 0.003942000
       48 0.004108000
       54 0.004462000
       60 0.005202000
       66 0.005882000
       72 0.006882000
       78 0.008076000
       84 0.009896000
       90 0.013512000
       96 0.022174000
      102 0.041560000
      108 0.076014000
      114 0.119394000
      120 0.148028000
      126 0.143020000
      132 0.109400000
      138 0.068766000
      144 0.035070000
      150 0.015586000
      156 0.006036000
      162 0.002096000
      168 0.000686000
      174 0.000228000
