#MET1-4   Hist_00008
    -180 0.053196000
    -174 0.044762000
    -168 0.030778000
    -162 0.017602000
    -156 0.008736000
    -150 0.004194000
    -144 0.001924000
    -138 0.000964000
    -132 0.000600000
    -126 0.000514000
    -120 0.000470000
    -114 0.000694000
    -108 0.001280000
    -102 0.002264000
     -96 0.003992000
     -90 0.005380000
     -84 0.006376000
     -78 0.006694000
     -72 0.006552000
     -66 0.005524000
     -60 0.004132000
     -54 0.002212000
     -48 0.001034000
     -42 0.000372000
     -36 0.000088000
     -30 0.000050000
     -24 0.000016000
     -18 0.000012000
     -12 0.000000000
      -6 0.000004000
       0 0.000004000
       6 0.000042000
      12 0.000132000
      18 0.000578000
      24 0.002380000
      30 0.009210000
      36 0.029286000
      42 0.070900000
      48 0.121188000
      54 0.141412000
      60 0.113106000
      66 0.065282000
      72 0.030428000
      78 0.012964000
      84 0.005870000
      90 0.002918000
      96 0.001480000
     102 0.000904000
     108 0.000566000
     114 0.000460000
     120 0.000624000
     126 0.000834000
     132 0.001610000
     138 0.003104000
     144 0.006824000
     150 0.013372000
     156 0.022796000
     162 0.034204000
     168 0.044608000
     174 0.052498000
