#ASP61-4  Hist_00630
    -180 0.002124000
    -174 0.001174000
    -168 0.000706000
    -162 0.000476000
    -156 0.000378000
    -150 0.000314000
    -144 0.000230000
    -138 0.000282000
    -132 0.000360000
    -126 0.000424000
    -120 0.000560000
    -114 0.000936000
    -108 0.001432000
    -102 0.002568000
     -96 0.004714000
     -90 0.007892000
     -84 0.013224000
     -78 0.022434000
     -72 0.036164000
     -66 0.053236000
     -60 0.069528000
     -54 0.077050000
     -48 0.071406000
     -42 0.055344000
     -36 0.037512000
     -30 0.023328000
     -24 0.014580000
     -18 0.009342000
     -12 0.006018000
      -6 0.003926000
       0 0.002202000
       6 0.001264000
      12 0.000728000
      18 0.000546000
      24 0.000422000
      30 0.000368000
      36 0.000338000
      42 0.000334000
      48 0.000354000
      54 0.000426000
      60 0.000632000
      66 0.001030000
      72 0.001934000
      78 0.003484000
      84 0.005860000
      90 0.009628000
      96 0.015844000
     102 0.025394000
     108 0.039204000
     114 0.055314000
     120 0.067548000
     126 0.070240000
     132 0.059750000
     138 0.044154000
     144 0.028530000
     150 0.017912000
     156 0.012042000
     162 0.008028000
     168 0.005224000
     174 0.003604000
