#LYS211-0  Hist_02240
     -180 0.000002000
     -174 0.000002000
     -168 0.000004000
     -162 0.000006000
     -156 0.000016000
     -150 0.000080000
     -144 0.000230000
     -138 0.000604000
     -132 0.001326000
     -126 0.002900000
     -120 0.005560000
     -114 0.010520000
     -108 0.019860000
     -102 0.035760000
      -96 0.063308000
      -90 0.099954000
      -84 0.142682000
      -78 0.174258000
      -72 0.178908000
      -66 0.140468000
      -60 0.079984000
      -54 0.032072000
      -48 0.009188000
      -42 0.001956000
      -36 0.000326000
      -30 0.000024000
      -24 0.000002000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000000000
