#VAL111-0  Hist_01152
     -180 0.004112000
     -174 0.015478000
     -168 0.044536000
     -162 0.106032000
     -156 0.191374000
     -150 0.236606000
     -144 0.197380000
     -138 0.112136000
     -132 0.047970000
     -126 0.017638000
     -120 0.006886000
     -114 0.003220000
     -108 0.002078000
     -102 0.001850000
      -96 0.001802000
      -90 0.002030000
      -84 0.002170000
      -78 0.002068000
      -72 0.001570000
      -66 0.001220000
      -60 0.000674000
      -54 0.000272000
      -48 0.000092000
      -42 0.000016000
      -36 0.000008000
      -30 0.000002000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000008000
      168 0.000082000
      174 0.000690000
