#MET1-5   Hist_00010
    -180 0.009164000
    -174 0.007940000
    -168 0.006376000
    -162 0.004724000
    -156 0.003194000
    -150 0.002344000
    -144 0.001710000
    -138 0.001278000
    -132 0.001182000
    -126 0.001186000
    -120 0.001334000
    -114 0.001884000
    -108 0.003210000
    -102 0.005538000
     -96 0.010614000
     -90 0.018368000
     -84 0.028992000
     -78 0.036830000
     -72 0.037650000
     -66 0.029994000
     -60 0.019524000
     -54 0.010458000
     -48 0.004798000
     -42 0.001962000
     -36 0.000710000
     -30 0.000238000
     -24 0.000082000
     -18 0.000046000
     -12 0.000012000
      -6 0.000020000
       0 0.000020000
       6 0.000038000
      12 0.000048000
      18 0.000124000
      24 0.000352000
      30 0.001212000
      36 0.004062000
      42 0.012602000
      48 0.031358000
      54 0.064732000
      60 0.104562000
      66 0.129674000
      72 0.126084000
      78 0.094186000
      84 0.058004000
      90 0.031956000
      96 0.017130000
     102 0.009346000
     108 0.005392000
     114 0.003788000
     120 0.002832000
     126 0.002630000
     132 0.002732000
     138 0.003074000
     144 0.003954000
     150 0.004970000
     156 0.006592000
     162 0.008096000
     168 0.009388000
     174 0.009700000
