#ASP197-4  Hist_02102
     -180 0.058022000
     -174 0.051232000
     -168 0.038040000
     -162 0.023686000
     -156 0.013458000
     -150 0.007316000
     -144 0.003960000
     -138 0.002394000
     -132 0.001478000
     -126 0.000942000
     -120 0.000728000
     -114 0.000598000
     -108 0.000580000
     -102 0.000546000
      -96 0.000622000
      -90 0.000870000
      -84 0.001082000
      -78 0.001544000
      -72 0.001958000
      -66 0.002524000
      -60 0.002706000
      -54 0.003340000
      -48 0.003954000
      -42 0.005228000
      -36 0.008092000
      -30 0.013800000
      -24 0.025122000
      -18 0.041954000
      -12 0.063726000
       -6 0.084434000
        0 0.095618000
        6 0.088852000
       12 0.070206000
       18 0.045926000
       24 0.026082000
       30 0.013538000
       36 0.006636000
       42 0.003204000
       48 0.001868000
       54 0.001080000
       60 0.000776000
       66 0.000544000
       72 0.000542000
       78 0.000536000
       84 0.000652000
       90 0.000918000
       96 0.001216000
      102 0.001520000
      108 0.001960000
      114 0.002252000
      120 0.002464000
      126 0.002936000
      132 0.003238000
      138 0.004212000
      144 0.005866000
      150 0.010032000
      156 0.017588000
      162 0.028816000
      168 0.043090000
      174 0.053896000
