#PHE137-0  Hist_01426
     -180 0.000000000
     -174 0.000002000
     -168 0.000040000
     -162 0.000322000
     -156 0.002238000
     -150 0.008186000
     -144 0.018424000
     -138 0.028214000
     -132 0.033838000
     -126 0.037556000
     -120 0.042578000
     -114 0.052900000
     -108 0.070586000
     -102 0.097084000
      -96 0.128854000
      -90 0.150394000
      -84 0.144264000
      -78 0.105560000
      -72 0.054494000
      -66 0.019160000
      -60 0.004494000
      -54 0.000724000
      -48 0.000082000
      -42 0.000004000
      -36 0.000002000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000000000
