#ARG88-5  Hist_00918
    -180 0.055052000
    -174 0.034160000
    -168 0.025590000
    -162 0.018444000
    -156 0.011938000
    -150 0.006858000
    -144 0.003850000
    -138 0.002426000
    -132 0.001984000
    -126 0.002042000
    -120 0.002746000
    -114 0.005128000
    -108 0.010686000
    -102 0.021422000
     -96 0.037230000
     -90 0.050198000
     -84 0.046084000
     -78 0.028300000
     -72 0.011408000
     -66 0.002772000
     -60 0.000544000
     -54 0.000076000
     -48 0.000008000
     -42 0.000002000
     -36 0.000002000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000010000
      30 0.000058000
      36 0.000186000
      42 0.000480000
      48 0.000846000
      54 0.000926000
      60 0.000760000
      66 0.000748000
      72 0.000836000
      78 0.000988000
      84 0.000808000
      90 0.000426000
      96 0.000210000
     102 0.000086000
     108 0.000044000
     114 0.000070000
     120 0.000154000
     126 0.000370000
     132 0.001396000
     138 0.005810000
     144 0.020794000
     150 0.059386000
     156 0.118192000
     162 0.160634000
     168 0.148930000
     174 0.097902000
