#GLY214-0  Hist_02276
     -180 0.013930000
     -174 0.013640000
     -168 0.012676000
     -162 0.011050000
     -156 0.009706000
     -150 0.007818000
     -144 0.006980000
     -138 0.006250000
     -132 0.005984000
     -126 0.006444000
     -120 0.007962000
     -114 0.009984000
     -108 0.013516000
     -102 0.019206000
      -96 0.029146000
      -90 0.044176000
      -84 0.064828000
      -78 0.083304000
      -72 0.092748000
      -66 0.087226000
      -60 0.069198000
      -54 0.046442000
      -48 0.026130000
      -42 0.012648000
      -36 0.005452000
      -30 0.002230000
      -24 0.000914000
      -18 0.000310000
      -12 0.000144000
       -6 0.000106000
        0 0.000048000
        6 0.000056000
       12 0.000090000
       18 0.000204000
       24 0.000366000
       30 0.000902000
       36 0.002102000
       42 0.004486000
       48 0.008800000
       54 0.015358000
       60 0.022450000
       66 0.028358000
       72 0.029742000
       78 0.028044000
       84 0.022478000
       90 0.016952000
       96 0.011912000
      102 0.008512000
      108 0.006098000
      114 0.004876000
      120 0.004180000
      126 0.004038000
      132 0.004318000
      138 0.005084000
      144 0.006042000
      150 0.007630000
      156 0.009480000
      162 0.010976000
      168 0.012520000
      174 0.013750000
