#ASP76-3  Hist_00792
    -180 0.000882000
    -174 0.000960000
    -168 0.001032000
    -162 0.000724000
    -156 0.000376000
    -150 0.000190000
    -144 0.000070000
    -138 0.000026000
    -132 0.000020000
    -126 0.000006000
    -120 0.000014000
    -114 0.000006000
    -108 0.000030000
    -102 0.000090000
     -96 0.000194000
     -90 0.000570000
     -84 0.001302000
     -78 0.002750000
     -72 0.004826000
     -66 0.006606000
     -60 0.008936000
     -54 0.009110000
     -48 0.006438000
     -42 0.003054000
     -36 0.001024000
     -30 0.000306000
     -24 0.000096000
     -18 0.000016000
     -12 0.000014000
      -6 0.000000000
       0 0.000014000
       6 0.000018000
      12 0.000020000
      18 0.000090000
      24 0.000564000
      30 0.003572000
      36 0.018790000
      42 0.066336000
      48 0.153436000
      54 0.233144000
      60 0.229662000
      66 0.150132000
      72 0.066990000
      78 0.021120000
      84 0.004744000
      90 0.000878000
      96 0.000156000
     102 0.000030000
     108 0.000008000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000002000
     150 0.000002000
     156 0.000006000
     162 0.000020000
     168 0.000142000
     174 0.000456000
